Completion Year,State,Total,Degree-granting,"Non-degree-granting, primarily postsecondary",American Indian or Alaska Native,Asian or Pacific Islander,Asian,Native Hawaiian or Other Pacific Islander,Black or African American,Hispanic or Latino,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,Male,Female
2019-20,Arizona,"167,428","162,377","5,051","3,020",,"6,642",703,"17,154","38,104","75,801","5,977","14,650","5,377","65,279","102,149"
2019-20,Arkansas,"49,934","48,574","1,360",336,,798,64,"7,062","3,404","34,907","1,445",432,"1,486","19,576","30,358"
2019-20,California,"704,718","675,723","28,995","2,158",,"104,485","2,851","34,687","261,868","190,061","30,737","29,702","48,169","285,050","419,668"
2019-20,Colorado,"94,730","91,513","3,217",791,,"3,335",244,"5,484","14,864","57,204","3,707","5,742","3,359","41,402","53,328"
2019-20,Connecticut,"51,701","46,355","5,346",118,,"2,782",52,"5,506","6,774","28,905","1,685","2,022","3,857","21,868","29,833"
2019-20,Delaware,"13,394","12,721",673,41,,490,16,"2,237","1,001","7,621",390,325,"1,273","4,929","8,465"
2019-20,District of Columbia,"29,359","28,981",378,70,,"2,011",36,"5,756","2,572","12,303",926,"1,538","4,147","11,593","17,766"
2019-20,Florida,"330,544","303,805","26,739",888,,"11,309",644,"52,588","90,923","134,928","9,634","14,630","15,000","133,300","197,244"
2019-20,Georgia,"151,873","149,123","2,750",447,,"7,689",153,"44,342","11,614","73,930","4,026","2,797","6,875","61,087","90,786"
2019-20,Hawaii,"13,575","13,379",196,29,,"4,413",764,242,"1,450","2,238","3,286",199,954,"5,509","8,066"
2019-20,Idaho,"26,727","25,493","1,234",178,,449,83,305,"2,534","20,011","1,089",963,"1,115","10,492","16,235"
2019-20,Illinois,"202,737","196,723","6,014",385,,"13,842",275,"21,521","31,879","108,696","5,026","7,533","13,580","82,777","119,960"
2019-20,Indiana,"117,907","115,843","2,064",266,,"3,946",134,"10,068","6,968","82,344","3,756","2,651","7,774","48,217","69,690"
2019-20,Iowa,"52,679","51,964",715,183,,"1,391",64,"2,345","3,285","38,443","1,165","2,542","3,261","23,410","29,269"
2019-20,Kansas,"54,031","52,312","1,719",599,,"1,428",101,"3,628","5,328","35,020","2,016","2,649","3,262","22,457","31,574"
2019-20,Kentucky,"87,008","86,000","1,008",133,,"1,483",58,"5,468","2,964","65,623","2,261","2,993","6,025","42,198","44,810"
2019-20,Louisiana,"64,719","58,979","5,740",395,,"1,670",238,"17,263","3,530","35,702","1,685","2,111","2,125","25,386","39,333"
2019-20,Maine,"14,398","13,904",494,122,,320,18,489,411,"11,591",360,761,326,"5,581","8,817"
2019-20,Maryland,"86,651","84,237","2,414",232,,"6,962",139,"19,581","7,322","38,795","3,051","3,434","7,135","37,381","49,270"
2019-20,Massachusetts,"136,114","133,017","3,097",184,,"11,104",126,"9,111","12,297","70,549","3,830","7,116","21,797","57,255","78,859"
2019-20,Michigan,"129,146","122,804","6,342",631,,"5,587",114,"12,374","6,222","86,994","3,943","4,583","8,698","55,537","73,609"
2019-20,Minnesota,"100,734","99,531","1,203",556,,"5,491",122,"12,148","5,216","64,118","2,973","5,858","4,252","35,327","65,407"
2019-20,Mississippi,"45,925","44,283","1,642",213,,761,30,"15,096","1,155","25,904",746,"1,191",829,"18,342","27,583"
2019-20,Missouri,"93,507","91,013","2,494",417,,"3,119",133,"8,985","4,815","64,381","2,894","2,829","5,934","38,464","55,043"
2019-20,Montana,"11,257","11,028",229,533,,269,28,88,389,"8,717",436,414,383,"4,803","6,454"
2019-20,Nebraska,"29,821","29,383",438,145,,837,46,"1,241","2,479","21,624","1,003","1,087","1,359","12,960","16,861"
2019-20,Nevada,"27,451","25,309","2,142",205,,"2,921",262,"1,854","7,107","11,849","1,760",844,649,"10,723","16,728"
2019-20,New Hampshire,"35,941","35,472",469,159,,"1,040",100,"3,330","2,480","24,343",626,"2,862","1,001","13,323","22,618"
2019-20,New Jersey,"100,787","92,507","8,280",193,,"9,284",191,"12,366","18,876","45,886","2,347","5,088","6,556","43,579","57,208"
2019-20,New Mexico,"32,415","31,728",687,"2,154",,743,72,999,"15,186","10,480",784,"1,205",792,"12,087","20,328"
2019-20,New York,"324,650","311,280","13,370",873,,"30,519",456,"37,819","50,263","145,684","7,704","12,886","38,446","129,836","194,814"
2019-20,North Carolina,"155,975","151,992","3,983","1,559",,"5,614",192,"28,131","12,574","91,676","4,519","4,752","6,958","66,148","89,827"
2019-20,North Dakota,"13,020","12,724",296,563,,174,16,384,429,"10,094",445,310,605,"5,683","7,337"
2019-20,Ohio,"167,261","156,948","10,313",351,,"4,962",130,"17,554","6,941","117,315","5,008","5,725","9,275","70,167","97,094"
2019-20,Oklahoma,"57,143","44,198","12,945","4,674",,"1,586",115,"4,024","5,783","32,648","4,488","1,492","2,333","24,238","32,905"
2019-20,Oregon,"54,025","52,634","1,391",500,,"3,038",260,"1,171","6,540","33,950","3,017","2,522","3,027","22,149","31,876"
2019-20,Pennsylvania,"182,801","176,160","6,641",286,,"10,531",156,"16,008","11,540","117,419","5,188","6,552","15,121","76,893","105,908"
2019-20,Rhode Island,"21,457","20,253","1,204",62,,998,23,"1,347","2,304","12,942",689,"1,734","1,358","9,185","12,272"
2019-20,South Carolina,"57,002","55,140","1,862",197,,"1,078",60,"10,787","2,744","37,792","1,777","1,138","1,429","23,121","33,881"
2019-20,South Dakota,"12,415","12,171",244,488,,195,12,372,450,"10,033",276,161,428,"5,434","6,981"
2019-20,Tennessee,"84,001","75,730","8,271",208,,"2,344",78,"12,587","3,715","58,701","2,333","1,828","2,207","33,911","50,090"
2019-20,Texas,"380,701","364,253","16,448","1,342",,"23,927",546,"42,479","136,495","140,292","9,604","6,748","19,268","157,312","223,389"
2019-20,Utah,"107,410","98,996","8,414",698,,"3,438",526,"3,838","9,713","79,613","3,115","4,436","2,033","41,692","65,718"
2019-20,Vermont,"10,767","10,671",96,24,,309,12,395,587,"8,220",338,501,381,"4,936","5,831"
2019-20,Virginia,"136,193","134,427","1,766",440,,"8,815",276,"22,288","10,450","74,175","5,020","9,075","5,654","55,656","80,537"
2019-20,Washington,"99,598","97,432","2,166",949,,"9,454",566,"3,761","12,420","52,707","6,785","5,812","7,144","42,523","57,075"
2019-20,West Virginia,"35,902","34,551","1,351",132,,623,146,"3,203","2,165","25,831","1,053","1,691","1,058","17,432","18,470"
2019-20,Wisconsin,"89,616","88,753",863,493,,"3,579",90,"3,660","5,715","68,037","2,527","1,799","3,716","36,327","53,289"
2019-20,Wyoming,"6,656","6,635",21,86,,53,13,71,552,"4,974",229,416,262,"2,869","3,787"
2018-19,Total,"5,144,436","4,907,120","237,316","31,913",,"321,030","12,169","570,506","828,075","2,703,429","161,577","207,971","307,766","2,136,345","3,008,091"
2018-19,Alabama,"77,324","76,229","1,095",548,,"1,562",75,"16,770","2,738","49,478","1,534","2,364","2,255","33,621","43,703"
2018-19,Alaska,"4,974","4,812",162,460,,291,34,125,361,"2,781",415,414,93,"1,980","2,994"
2018-19,Arizona,"166,043","160,273","5,770","3,198",,"6,471",728,"16,962","36,773","76,338","5,764","14,167","5,642","66,690","99,353"
2018-19,Arkansas,"49,755","48,214","1,541",391,,749,54,"7,253","2,987","34,993","1,374",400,"1,554","19,685","30,070"
2018-19,California,"700,917","670,379","30,538","2,272",,"103,399","2,993","35,183","254,636","196,661","29,352","29,350","47,071","289,492","411,425"
2018-19,Colorado,"94,132","90,619","3,513",844,,"3,290",255,"5,441","14,629","57,145","3,386","5,569","3,573","40,908","53,224"
2018-19,Connecticut,"53,486","47,673","5,813",102,,"2,772",53,"5,731","7,017","29,873","1,752","2,355","3,831","22,856","30,630"
2018-19,Delaware,"14,396","13,443",953,59,,487,21,"2,527",998,"8,106",325,398,"1,475","5,341","9,055"
2018-19,District of Columbia,"29,686","29,346",340,74,,"2,095",39,"5,956","2,405","12,352",824,"1,854","4,087","11,892","17,794"
2018-19,Florida,"331,778","303,182","28,596",885,,"10,956",715,"54,467","89,348","138,286","9,026","13,234","14,861","134,673","197,105"
2018-19,Georgia,"149,084","146,223","2,861",443,,"7,189",190,"43,991","10,627","73,610","3,630","2,871","6,533","59,862","89,222"
2018-19,Hawaii,"14,135","13,948",187,37,,"4,522",783,275,"1,475","2,383","3,505",222,933,"5,790","8,345"
2018-19,Idaho,"24,764","23,716","1,048",187,,405,102,293,"2,255","18,849",895,775,"1,003","10,033","14,731"
2018-19,Illinois,"201,612","194,779","6,833",382,,"13,325",276,"21,144","29,298","109,546","4,797","8,160","14,684","84,106","117,506"
2018-19,Indiana,"116,053","114,019","2,034",273,,"3,616",150,"9,969","6,809","81,014","3,274","3,364","7,584","47,895","68,158"
2018-19,Iowa,"53,881","53,012",869,183,,"1,387",53,"2,479","3,175","39,814","1,159","2,160","3,471","24,259","29,622"
2018-19,Kansas,"54,280","52,260","2,020",672,,"1,402",87,"3,828","4,926","35,615","1,926","2,527","3,297","23,150","31,130"
2018-19,Kentucky,"82,169","80,917","1,252",145,,"1,319",75,"5,526","2,612","64,319","1,972","2,571","3,630","38,077","44,092"
2018-19,Louisiana,"66,239","59,923","6,316",388,,"1,637",176,"18,465","3,357","35,956","1,573","2,522","2,165","26,372","39,867"
2018-19,Maine,"14,611","13,833",778,92,,388,17,531,372,"11,739",307,813,352,"5,655","8,956"
2018-19,Maryland,"86,593","84,170","2,423",209,,"6,812",161,"19,586","6,813","39,673","3,099","3,347","6,893","37,716","48,877"
2018-19,Massachusetts,"135,794","131,708","4,086",216,,"10,580",98,"9,122","12,137","72,421","3,560","7,158","20,502","56,775","79,019"
2018-19,Michigan,"131,682","124,473","7,209",680,,"5,267",117,"12,879","5,832","89,465","3,636","4,731","9,075","56,355","75,327"
2018-19,Minnesota,"102,757","101,435","1,322",631,,"5,268",148,"11,993","4,752","66,415","2,992","6,000","4,558","36,650","66,107"
2018-19,Mississippi,"46,181","44,380","1,801",173,,592,34,"16,170",990,"26,221",698,516,787,"18,076","28,105"
2018-19,Missouri,"96,015","93,219","2,796",458,,"3,053",125,"9,408","5,058","66,550","2,839","2,903","5,621","40,128","55,887"
2018-19,Montana,"11,969","11,674",295,646,,232,22,98,426,"9,197",426,463,459,"5,131","6,838"
2018-19,Nebraska,"31,056","30,608",448,174,,963,53,"1,255","2,521","22,730",891,"1,070","1,399","13,692","17,364"
2018-19,Nevada,"26,874","24,708","2,166",182,,"2,795",275,"1,871","6,618","11,990","1,684",851,608,"10,649","16,225"
2018-19,New Hampshire,"35,679","35,049",630,173,,998,74,"3,063","2,118","23,771",565,"3,970",947,"13,593","22,086"
2018-19,New Jersey,"103,014","93,056","9,958",222,,"8,993",224,"12,823","18,998","47,283","2,139","5,811","6,521","44,331","58,683"
2018-19,New Mexico,"32,849","31,976",873,"2,176",,770,68,938,"14,699","11,130",748,"1,494",826,"12,790","20,059"
2018-19,New York,"329,645","312,140","17,505",880,,"29,778",524,"39,065","49,417","150,306","7,518","13,904","38,253","132,669","196,976"
2018-19,North Carolina,"153,966","150,188","3,778","1,618",,"5,385",203,"28,514","11,708","90,950","4,205","4,722","6,661","65,731","88,235"
2018-19,North Dakota,"12,895","12,608",287,562,,130,14,385,419,"10,160",289,347,589,"5,754","7,141"
2018-19,Ohio,"171,203","158,811","12,392",422,,"4,685",145,"18,091","6,343","120,857","4,936","6,355","9,369","72,485","98,718"
2018-19,Oklahoma,"57,696","44,765","12,931","4,679",,"1,635",115,"3,860","5,261","32,716","4,262","2,668","2,500","25,086","32,610"
2018-19,Oregon,"59,308","57,782","1,526",531,,"3,130",285,"1,515","6,831","37,729","3,135","2,900","3,252","24,162","35,146"
2018-19,Pennsylvania,"186,404","178,807","7,597",297,,"10,116",191,"16,692","11,256","121,680","4,934","6,861","14,377","79,054","107,350"
2018-19,Rhode Island,"21,737","20,511","1,226",63,,943,26,"1,360","2,237","13,227",733,"1,690","1,458","9,020","12,717"
2018-19,South Carolina,"56,627","54,654","1,973",205,,"1,056",59,"11,339","2,414","37,584","1,550","1,062","1,358","22,915","33,712"
2018-19,South Dakota,"12,443","12,257",186,441,,204,11,437,448,"9,962",294,190,456,"5,496","6,947"
2018-19,Tennessee,"82,259","73,436","8,823",209,,"2,025",97,"12,581","3,587","57,694","2,022","1,702","2,342","33,835","48,424"
2018-19,Texas,"379,191","362,663","16,528","1,320",,"23,130",562,"42,903","131,320","143,133","9,225","7,153","20,445","160,325","218,866"
2018-19,Utah,"93,990","85,010","8,980",634,,"2,833",436,"3,156","8,217","70,735","2,589","3,374","2,016","36,839","57,151"
2018-19,Vermont,"11,143","11,037",106,42,,302,11,411,579,"8,330",385,581,502,"5,118","6,025"
2018-19,Virginia,"136,645","134,680","1,965",513,,"8,493",323,"22,725","9,972","75,033","4,834","9,153","5,599","56,443","80,202"
2018-19,Washington,"106,325","103,830","2,495","1,095",,"9,545",671,"4,172","12,320","57,212","6,977","6,901","7,432","45,538","60,787"
2018-19,West Virginia,"36,099","34,590","1,509",124,,610,132,"3,122","2,050","26,306","1,022","1,696","1,037","17,514","18,585"
2018-19,Wisconsin,"90,314","89,358",956,615,,"3,387",76,"3,983","5,433","68,958","2,374","1,934","3,554","37,182","53,132"
2018-19,Wyoming,"6,764","6,737",27,88,,58,13,73,503,"5,153",226,374,276,"2,956","3,808"
2017-18,Total,"5,020,910","4,784,374","236,536","32,203",,"305,341","12,107","560,619","765,261","2,689,656","149,232","199,205","307,286","2,099,909","2,921,001"
2017-18,Alabama,"71,781","70,688","1,093",467,,"1,499",72,"15,813","2,431","46,254","1,299","1,787","2,159","31,323","40,458"
2017-18,Alaska,"5,231","5,050",181,582,,246,50,132,348,"2,913",408,465,87,"2,114","3,117"
2017-18,Arizona,"160,486","155,276","5,210","3,237",,"5,970",703,"15,971","35,557","75,716","5,335","12,069","5,928","64,747","95,739"
2017-18,Arkansas,"46,353","44,688","1,665",367,,696,59,"6,549","2,544","32,508","1,230",437,"1,963","18,819","27,534"
2017-18,California,"650,760","620,461","30,299","2,294",,"96,276","3,000","34,426","226,684","190,450","26,433","26,639","44,558","273,035","377,725"
2017-18,Colorado,"91,566","87,597","3,969",783,,"3,132",244,"5,147","13,808","57,321","3,172","4,694","3,265","40,628","50,938"
2017-18,Connecticut,"52,655","46,481","6,174",113,,"2,494",49,"5,355","6,632","29,455","1,598","2,679","4,280","22,578","30,077"
2017-18,Delaware,"15,481","14,465","1,016",81,,459,15,"2,654",958,"8,120",339,615,"2,240","5,933","9,548"
2017-18,District of Columbia,"28,222","28,005",217,47,,"1,949",40,"5,616","2,073","12,057",760,"1,814","3,866","11,338","16,884"
2017-18,Florida,"317,123","287,694","29,429",996,,"10,278",746,"52,570","81,350","138,023","8,149","10,757","14,254","129,127","187,996"
2017-18,Georgia,"144,442","141,466","2,976",410,,"6,726",207,"43,291","9,588","71,853","3,302","2,800","6,265","58,216","86,226"
2017-18,Hawaii,"14,580","14,334",246,32,,"4,708",824,298,"1,474","2,533","3,494",205,"1,012","5,979","8,601"
2017-18,Idaho,"24,271","23,117","1,154",193,,391,83,270,"2,039","18,612",856,824,"1,003","9,966","14,305"
2017-18,Illinois,"207,263","200,978","6,285",490,,"12,964",282,"22,175","28,504","114,565","4,580","8,691","15,012","86,717","120,546"
2017-18,Indiana,"105,287","103,369","1,918",202,,"3,053",100,"8,066","5,357","75,036","2,845","2,577","8,051","45,739","59,548"
2017-18,Iowa,"62,504","61,654",850,242,,"1,554",95,"4,641","4,065","44,818","1,356","2,489","3,244","26,926","35,578"
2017-18,Kansas,"53,832","51,897","1,935",681,,"1,317",66,"3,707","4,739","35,999","1,747","2,136","3,440","22,609","31,223"
2017-18,Kentucky,"78,500","76,999","1,501",163,,"1,253",73,"5,365","2,296","63,102","1,833","1,879","2,536","36,657","41,843"
2017-18,Louisiana,"64,374","58,117","6,257",373,,"1,552",98,"18,320","3,097","34,461","1,420","2,906","2,147","26,663","37,711"
2017-18,Maine,"14,912","14,280",632,107,,332,10,431,359,"12,005",325,977,366,"5,776","9,136"
2017-18,Maryland,"86,707","84,353","2,354",215,,"6,522",171,"18,969","6,508","41,297","2,965","3,435","6,625","37,651","49,056"
2017-18,Massachusetts,"135,997","131,508","4,489",244,,"10,285",106,"9,353","11,666","73,777","3,484","7,164","19,918","56,527","79,470"
2017-18,Michigan,"134,146","127,126","7,020",705,,"4,949",126,"13,690","5,521","91,111","3,338","4,848","9,858","57,118","77,028"
2017-18,Minnesota,"100,984","99,715","1,269",653,,"5,061",148,"11,415","4,361","66,694","2,714","5,454","4,484","36,665","64,319"
2017-18,Mississippi,"45,420","43,641","1,779",173,,553,63,"16,041",882,"25,689",676,502,841,"18,077","27,343"
2017-18,Missouri,"95,791","93,123","2,668",407,,"3,056",133,"9,732","4,639","65,909","2,461","2,939","6,515","40,207","55,584"
2017-18,Montana,"11,324","10,980",344,638,,220,25,98,366,"8,905",307,393,372,"4,918","6,406"
2017-18,Nebraska,"30,970","30,487",483,126,,845,47,"1,432","2,395","22,689",856,"1,104","1,476","13,407","17,563"
2017-18,Nevada,"26,364","23,881","2,483",186,,"2,709",301,"1,850","6,322","12,050","1,501",855,590,"10,449","15,915"
2017-18,New Hampshire,"33,681","33,114",567,145,,968,45,"2,239","1,594","20,924",472,"5,727","1,567","13,354","20,327"
2017-18,New Jersey,"103,638","93,681","9,957",222,,"8,615",208,"12,986","18,306","48,256","2,030","6,209","6,806","44,323","59,315"
2017-18,New Mexico,"33,582","32,746",836,"2,612",,665,73,962,"15,118","11,099",717,"1,431",905,"13,127","20,455"
2017-18,New York,"327,620","310,041","17,579",888,,"29,001",584,"39,212","47,702","151,765","6,778","13,849","37,841","131,617","196,003"
2017-18,North Carolina,"150,425","146,928","3,497","1,456",,"5,024",189,"28,732","10,490","89,224","3,761","5,453","6,096","64,072","86,353"
2017-18,North Dakota,"12,709","12,408",301,538,,169,15,340,330,"10,014",306,344,653,"5,814","6,895"
2017-18,Ohio,"165,645","153,771","11,874",386,,"4,376",122,"16,288","5,563","118,522","4,189","6,584","9,615","69,668","95,977"
2017-18,Oklahoma,"56,519","43,853","12,666","4,714",,"1,653",97,"4,004","4,984","32,626","4,048","1,555","2,838","25,248","31,271"
2017-18,Oregon,"58,599","57,032","1,567",584,,"3,375",268,"1,353","6,272","37,847","2,968","2,805","3,127","23,707","34,892"
2017-18,Pennsylvania,"187,020","179,356","7,664",281,,"10,080",184,"16,626","10,282","123,522","4,624","6,877","14,544","80,340","106,680"
2017-18,Rhode Island,"21,899","20,548","1,351",59,,919,15,"1,303","2,137","13,870",690,"1,310","1,596","9,204","12,695"
2017-18,South Carolina,"55,810","54,106","1,704",165,,990,67,"11,403","2,202","36,922","1,552","1,077","1,432","22,786","33,024"
2017-18,South Dakota,"11,776","11,558",218,372,,171,16,298,315,"9,783",209,175,437,"5,300","6,476"
2017-18,Tennessee,"83,179","74,289","8,890",229,,"2,026",80,"12,471","3,243","58,981","1,937","1,770","2,442","34,871","48,308"
2017-18,Texas,"370,918","354,512","16,406","1,219",,"21,610",609,"42,355","123,961","142,836","9,060","7,686","21,582","157,290","213,628"
2017-18,Utah,"85,767","77,380","8,387",583,,"2,591",445,"2,688","7,206","65,309","2,317","2,617","2,011","34,612","51,155"
2017-18,Vermont,"11,618","11,515",103,46,,312,9,474,627,"8,536",352,782,480,"5,361","6,257"
2017-18,Virginia,"134,048","132,227","1,821",449,,"8,665",284,"22,447","9,330","74,547","4,590","8,388","5,348","55,305","78,743"
2017-18,Washington,"106,075","103,446","2,629","1,265",,"9,156",610,"4,174","11,890","58,671","6,490","6,760","7,059","46,364","59,711"
2017-18,West Virginia,"36,430","34,748","1,682",156,,599,145,"3,123","1,858","27,115",991,"1,399","1,044","17,436","18,994"
2017-18,Wisconsin,"89,220","88,312",908,539,,"3,266",94,"3,697","4,682","69,578","2,173","1,949","3,242","36,774","52,446"
2017-18,Wyoming,"7,406","7,373",33,88,,61,12,67,606,"5,787",195,324,266,"3,427","3,979"
2016-17,Total,"4,956,075","4,706,935","249,140","32,794",,"289,294","12,411","569,764","716,842","2,690,299","137,738","211,138","295,795","2,068,642","2,887,433"
2016-17,Alabama,"71,768","70,745","1,023",524,,"1,346",59,"17,071","2,285","44,655","1,242","2,412","2,174","31,165","40,603"
2016-17,Alaska,"5,447","5,203",244,583,,280,33,157,331,"3,073",381,521,88,"2,186","3,261"
2016-17,Arizona,"161,619","155,449","6,170","3,394",,"5,819",704,"16,840","33,930","77,880","4,968","12,789","5,295","64,537","97,082"
2016-17,Arkansas,"45,614","43,996","1,618",333,,623,45,"6,923","2,257","31,909","1,129",339,"2,056","18,749","26,865"
2016-17,California,"603,691","570,854","32,837","2,218",,"90,520","3,042","34,100","199,656","183,768","23,732","25,717","40,938","249,429","354,262"
2016-17,Colorado,"89,466","85,881","3,585",783,,"2,983",249,"5,146","12,928","56,733","3,048","4,579","3,017","39,632","49,834"
2016-17,Connecticut,"53,592","47,357","6,235",139,,"2,325",53,"5,419","6,285","30,400","1,347","3,411","4,213","23,249","30,343"
2016-17,Delaware,"14,538","13,508","1,030",65,,518,18,"2,555",805,"7,813",288,687,"1,789","5,415","9,123"
2016-17,District of Columbia,"27,249","27,087",162,64,,"1,852",35,"5,224","1,873","11,726",661,"1,978","3,836","11,257","15,992"
2016-17,Florida,"320,082","290,527","29,555",981,,"10,081",782,"54,640","78,490","140,784","7,818","12,606","13,900","130,377","189,705"
2016-17,Georgia,"146,560","142,868","3,692",381,,"6,166",159,"45,575","8,735","73,296","3,130","3,229","5,889","58,484","88,076"
2016-17,Hawaii,"15,312","15,102",210,36,,"4,827","1,047",325,"1,438","2,913","3,478",227,"1,021","6,396","8,916"
2016-17,Idaho,"22,757","21,802",955,192,,368,74,242,"1,908","17,459",687,882,945,"9,504","13,253"
2016-17,Illinois,"210,198","203,794","6,404",458,,"12,372",312,"22,904","26,834","118,561","4,400","9,220","15,137","89,002","121,196"
2016-17,Indiana,"102,508","100,389","2,119",205,,"2,788",94,"8,290","5,033","73,356","2,524","2,331","7,887","43,717","58,791"
2016-17,Iowa,"64,752","63,780",972,318,,"1,497",102,"4,631","3,983","46,961","1,260","2,714","3,286","27,154","37,598"
2016-17,Kansas,"52,808","50,838","1,970",693,,"1,211",74,"3,712","4,276","35,987","1,578","2,073","3,204","22,183","30,625"
2016-17,Kentucky,"75,812","74,551","1,261",181,,"1,154",82,"5,363","2,044","61,638","1,642","1,766","1,942","34,391","41,421"
2016-17,Louisiana,"65,683","59,453","6,230",423,,"1,517",54,"18,936","3,003","36,289","1,339","2,101","2,021","27,425","38,258"
2016-17,Maine,"15,206","14,467",739,106,,351,11,506,345,"12,099",301,"1,105",382,"5,883","9,323"
2016-17,Maryland,"85,143","82,375","2,768",232,,"6,171",151,"18,913","5,927","41,540","2,712","3,359","6,138","36,412","48,731"
2016-17,Massachusetts,"135,314","129,620","5,694",238,,"9,676",91,"9,653","11,574","73,790","3,408","8,972","17,912","56,042","79,272"
2016-17,Michigan,"138,061","130,319","7,742",789,,"4,771",127,"14,416","5,221","93,772","3,182","5,596","10,187","58,748","79,313"
2016-17,Minnesota,"101,338","100,041","1,297",666,,"4,954",151,"11,071","4,304","68,087","2,715","4,960","4,430","37,430","63,908"
2016-17,Mississippi,"43,950","42,424","1,526",172,,528,23,"15,082",754,"25,280",611,688,812,"17,424","26,526"
2016-17,Missouri,"99,718","96,979","2,739",488,,"2,949",142,"10,843","4,353","67,267","2,349","3,400","7,927","42,515","57,203"
2016-17,Montana,"11,310","11,036",274,616,,217,30,80,353,"8,955",234,470,355,"4,952","6,358"
2016-17,Nebraska,"30,345","29,863",482,137,,758,51,"1,218","2,285","22,574",749,"1,185","1,388","12,998","17,347"
2016-17,Nevada,"26,079","23,542","2,537",207,,"2,508",296,"1,792","5,895","12,460","1,412",964,545,"10,105","15,974"
2016-17,New Hampshire,"28,988","28,143",845,104,,"1,050",43,"1,331","1,050","16,534",348,"7,218","1,310","11,601","17,387"
2016-17,New Jersey,"103,072","92,055","11,017",196,,"8,480",255,"13,006","18,173","47,815","1,857","6,614","6,676","44,113","58,959"
2016-17,New Mexico,"37,761","36,925",836,"2,875",,746,95,"1,135","16,643","12,991",744,"1,618",914,"14,617","23,144"
2016-17,New York,"324,859","305,905","18,954",928,,"27,580",559,"38,248","45,697","153,729","6,453","15,357","36,308","131,849","193,010"
2016-17,North Carolina,"145,723","142,567","3,156","1,415",,"4,434",233,"27,979","9,448","86,984","3,411","5,828","5,991","61,450","84,273"
2016-17,North Dakota,"12,291","12,000",291,438,,151,20,327,303,"9,853",283,266,650,"5,729","6,562"
2016-17,Ohio,"166,113","153,837","12,276",404,,"4,126",124,"16,551","5,294","119,008","3,683","6,629","10,294","70,027","96,086"
2016-17,Oklahoma,"57,796","44,867","12,929","4,640",,"1,673",111,"4,514","4,800","33,972","3,605","1,785","2,696","25,585","32,211"
2016-17,Oregon,"58,136","56,398","1,738",645,,"2,941",293,"1,474","5,646","37,642","2,662","3,895","2,938","23,550","34,586"
2016-17,Pennsylvania,"188,674","180,498","8,176",322,,"9,457",201,"17,371","10,314","126,127","4,150","7,478","13,254","80,490","108,184"
2016-17,Rhode Island,"21,185","19,823","1,362",59,,849,17,"1,279","2,044","13,152",648,"1,589","1,548","8,969","12,216"
2016-17,South Carolina,"56,634","54,852","1,782",180,,963,63,"12,306","2,004","37,086","1,320","1,391","1,321","22,836","33,798"
2016-17,South Dakota,"11,632","11,437",195,367,,154,21,265,286,"9,836",192,155,356,"5,186","6,446"
2016-17,Tennessee,"86,241","76,393","9,848",210,,"2,047",80,"13,732","3,212","60,380","1,892","2,308","2,380","35,740","50,501"
2016-17,Texas,"362,133","344,900","17,233","1,358",,"20,153",603,"41,787","121,298","140,551","8,256","6,598","21,529","153,806","208,327"
2016-17,Utah,"78,959","70,004","8,955",556,,"2,328",396,"2,348","6,101","60,609","1,964","2,724","1,933","33,191","45,768"
2016-17,Vermont,"11,276","11,188",88,75,,273,5,378,550,"8,469",356,850,320,"5,145","6,131"
2016-17,Virginia,"135,852","133,473","2,379",465,,"8,539",322,"23,307","9,082","75,927","4,456","8,430","5,324","56,499","79,353"
2016-17,Washington,"105,648","103,213","2,435","1,153",,"8,680",641,"4,145","11,442","59,836","6,163","6,564","7,024","46,006","59,642"
2016-17,West Virginia,"36,326","34,812","1,514",128,,563,124,"3,137","1,766","27,425","1,008","1,143","1,032","17,533","18,793"
2016-17,Wisconsin,"83,596","82,552","1,044",587,,"2,910",100,"3,448","4,052","65,750","1,819","1,944","2,986","34,510","49,086"
2016-17,Wyoming,"7,260","7,243",17,67,,67,14,69,532,"5,598",143,473,297,"3,449","3,811"
2015-16,Total,"4,892,308","4,638,571","253,737","32,785",,"276,655","12,454","570,259","670,797","2,694,126","128,783","230,606","275,843","2,036,650","2,855,658"
2015-16,Alabama,"69,136","68,208",928,490,,"1,237",72,"16,245","2,133","42,908","1,180","2,910","1,961","29,995","39,141"
2015-16,Alaska,"5,630","5,358",272,646,,285,31,144,327,"3,171",384,547,95,"2,179","3,451"
2015-16,Arizona,"166,067","159,195","6,872","3,295",,"5,610",748,"15,909","32,540","78,266","6,293","18,445","4,961","66,235","99,832"
2015-16,Arkansas,"45,038","43,315","1,723",363,,651,40,"7,121","2,137","31,893","1,083",350,"1,400","17,881","27,157"
2015-16,California,"581,604","548,524","33,080","2,302",,"87,123","2,927","33,543","184,481","184,027","22,076","28,373","36,752","240,766","340,838"
2015-16,Colorado,"87,757","83,080","4,677",791,,"2,750",233,"5,056","12,305","56,001","2,793","4,923","2,905","38,517","49,240"
2015-16,Connecticut,"53,844","47,133","6,711",160,,"2,258",37,"5,390","6,053","30,766","1,201","3,704","4,275","23,250","30,594"
2015-16,Delaware,"14,615","13,604","1,011",67,,397,17,"2,456",727,"8,059",245,683,"1,964","5,668","8,947"
