Completion Year,State,Total,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Native Hawaiian or Other Pacific Islander,Black or African American,Hispanic or Latino,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident
2018-19,Colorado,"94,132",844,N/A,"3,290",255,"5,441","14,629","57,145","3,386","5,569","3,573"
2018-19,Connecticut,"53,486",102,N/A,"2,772",53,"5,731","7,017","29,873","1,752","2,355","3,831"
2018-19,Delaware,"14,396",59,N/A,487,21,"2,527",998,"8,106",325,398,"1,475"
2018-19,District of Columbia,"29,686",74,N/A,"2,095",39,"5,956","2,405","12,352",824,"1,854","4,087"
2018-19,Florida,"331,778",885,N/A,"10,956",715,"54,467","89,348","138,286","9,026","13,234","14,861"
2018-19,Georgia,"149,084",443,N/A,"7,189",190,"43,991","10,627","73,610","3,630","2,871","6,533"
2018-19,Hawaii,"14,135",37,N/A,"4,522",783,275,"1,475","2,383","3,505",222,933
2018-19,Idaho,"24,764",187,N/A,405,102,293,"2,255","18,849",895,775,"1,003"
2018-19,Illinois,"201,612",382,N/A,"13,325",276,"21,144","29,298","109,546","4,797","8,160","14,684"
2018-19,Indiana,"116,053",273,N/A,"3,616",150,"9,969","6,809","81,014","3,274","3,364","7,584"
2018-19,Iowa,"53,881",183,N/A,"1,387",53,"2,479","3,175","39,814","1,159","2,160","3,471"
2018-19,Kansas,"54,280",672,N/A,"1,402",87,"3,828","4,926","35,615","1,926","2,527","3,297"
2018-19,Kentucky,"82,169",145,N/A,"1,319",75,"5,526","2,612","64,319","1,972","2,571","3,630"
2018-19,Louisiana,"66,239",388,N/A,"1,637",176,"18,465","3,357","35,956","1,573","2,522","2,165"
2018-19,Maine,"14,611",92,N/A,388,17,531,372,"11,739",307,813,352
2018-19,Maryland,"86,593",209,N/A,"6,812",161,"19,586","6,813","39,673","3,099","3,347","6,893"
2018-19,Massachusetts,"135,794",216,N/A,"10,580",98,"9,122","12,137","72,421","3,560","7,158","20,502"
2018-19,Michigan,"131,682",680,N/A,"5,267",117,"12,879","5,832","89,465","3,636","4,731","9,075"
2018-19,Minnesota,"102,757",631,N/A,"5,268",148,"11,993","4,752","66,415","2,992","6,000","4,558"
2018-19,Mississippi,"46,181",173,N/A,592,34,"16,170",990,"26,221",698,516,787
2018-19,Missouri,"96,015",458,N/A,"3,053",125,"9,408","5,058","66,550","2,839","2,903","5,621"
2018-19,Montana,"11,969",646,N/A,232,22,98,426,"9,197",426,463,459
2018-19,Nebraska,"31,056",174,N/A,963,53,"1,255","2,521","22,730",891,"1,070","1,399"
2018-19,Nevada,"26,874",182,N/A,"2,795",275,"1,871","6,618","11,990","1,684",851,608
2018-19,New Hampshire,"35,679",173,N/A,998,74,"3,063","2,118","23,771",565,"3,970",947
2018-19,New Jersey,"103,014",222,N/A,"8,993",224,"12,823","18,998","47,283","2,139","5,811","6,521"
2018-19,New Mexico,"32,849","2,176",N/A,770,68,938,"14,699","11,130",748,"1,494",826
2018-19,New York,"329,645",880,N/A,"29,778",524,"39,065","49,417","150,306","7,518","13,904","38,253"
2018-19,North Carolina,"153,966","1,618",N/A,"5,385",203,"28,514","11,708","90,950","4,205","4,722","6,661"
2018-19,North Dakota,"12,895",562,N/A,130,14,385,419,"10,160",289,347,589
2018-19,Ohio,"171,203",422,N/A,"4,685",145,"18,091","6,343","120,857","4,936","6,355","9,369"
2018-19,Oklahoma,"57,696","4,679",N/A,"1,635",115,"3,860","5,261","32,716","4,262","2,668","2,500"
2018-19,Oregon,"59,308",531,N/A,"3,130",285,"1,515","6,831","37,729","3,135","2,900","3,252"
2018-19,Pennsylvania,"186,404",297,N/A,"10,116",191,"16,692","11,256","121,680","4,934","6,861","14,377"
2018-19,Rhode Island,"21,737",63,N/A,943,26,"1,360","2,237","13,227",733,"1,690","1,458"
2018-19,South Carolina,"56,627",205,N/A,"1,056",59,"11,339","2,414","37,584","1,550","1,062","1,358"
2018-19,South Dakota,"12,443",441,N/A,204,11,437,448,"9,962",294,190,456
2018-19,Tennessee,"82,259",209,N/A,"2,025",97,"12,581","3,587","57,694","2,022","1,702","2,342"
2018-19,Texas,"379,191","1,320",N/A,"23,130",562,"42,903","131,320","143,133","9,225","7,153","20,445"
2018-19,Utah,"93,990",634,N/A,"2,833",436,"3,156","8,217","70,735","2,589","3,374","2,016"
2018-19,Vermont,"11,143",42,N/A,302,11,411,579,"8,330",385,581,502
2018-19,Virginia,"136,645",513,N/A,"8,493",323,"22,725","9,972","75,033","4,834","9,153","5,599"
2018-19,Washington,"106,325","1,095",N/A,"9,545",671,"4,172","12,320","57,212","6,977","6,901","7,432"
2018-19,West Virginia,"36,099",124,N/A,610,132,"3,122","2,050","26,306","1,022","1,696","1,037"
2018-19,Wisconsin,"90,314",615,N/A,"3,387",76,"3,983","5,433","68,958","2,374","1,934","3,554"
2018-19,Wyoming,"6,764",88,N/A,58,13,73,503,"5,153",226,374,276
2017-18,Total,"5,020,910","32,203",N/A,"305,341","12,107","560,619","765,261","2,689,656","149,232","199,205","307,286"
2017-18,Alabama,"71,781",467,N/A,"1,499",72,"15,813","2,431","46,254","1,299","1,787","2,159"
2017-18,Alaska,"5,231",582,N/A,246,50,132,348,"2,913",408,465,87
2017-18,Arizona,"160,486","3,237",N/A,"5,970",703,"15,971","35,557","75,716","5,335","12,069","5,928"
2017-18,Arkansas,"46,353",367,N/A,696,59,"6,549","2,544","32,508","1,230",437,"1,963"
2017-18,California,"650,760","2,294",N/A,"96,276","3,000","34,426","226,684","190,450","26,433","26,639","44,558"
2017-18,Colorado,"91,566",783,N/A,"3,132",244,"5,147","13,808","57,321","3,172","4,694","3,265"
2017-18,Connecticut,"52,655",113,N/A,"2,494",49,"5,355","6,632","29,455","1,598","2,679","4,280"
2017-18,Delaware,"15,481",81,N/A,459,15,"2,654",958,"8,120",339,615,"2,240"
2017-18,District of Columbia,"28,222",47,N/A,"1,949",40,"5,616","2,073","12,057",760,"1,814","3,866"
2017-18,Florida,"317,123",996,N/A,"10,278",746,"52,570","81,350","138,023","8,149","10,757","14,254"
2017-18,Georgia,"144,442",410,N/A,"6,726",207,"43,291","9,588","71,853","3,302","2,800","6,265"
2017-18,Hawaii,"14,580",32,N/A,"4,708",824,298,"1,474","2,533","3,494",205,"1,012"
2017-18,Idaho,"24,271",193,N/A,391,83,270,"2,039","18,612",856,824,"1,003"
2017-18,Illinois,"207,263",490,N/A,"12,964",282,"22,175","28,504","114,565","4,580","8,691","15,012"
2017-18,Indiana,"105,287",202,N/A,"3,053",100,"8,066","5,357","75,036","2,845","2,577","8,051"
2017-18,Iowa,"62,504",242,N/A,"1,554",95,"4,641","4,065","44,818","1,356","2,489","3,244"
2017-18,Kansas,"53,832",681,N/A,"1,317",66,"3,707","4,739","35,999","1,747","2,136","3,440"
2017-18,Kentucky,"78,500",163,N/A,"1,253",73,"5,365","2,296","63,102","1,833","1,879","2,536"
2017-18,Louisiana,"64,374",373,N/A,"1,552",98,"18,320","3,097","34,461","1,420","2,906","2,147"
2017-18,Maine,"14,912",107,N/A,332,10,431,359,"12,005",325,977,366
2017-18,Maryland,"86,707",215,N/A,"6,522",171,"18,969","6,508","41,297","2,965","3,435","6,625"
2017-18,Massachusetts,"135,997",244,N/A,"10,285",106,"9,353","11,666","73,777","3,484","7,164","19,918"
2017-18,Michigan,"134,146",705,N/A,"4,949",126,"13,690","5,521","91,111","3,338","4,848","9,858"
2017-18,Minnesota,"100,984",653,N/A,"5,061",148,"11,415","4,361","66,694","2,714","5,454","4,484"
2017-18,Mississippi,"45,420",173,N/A,553,63,"16,041",882,"25,689",676,502,841
2017-18,Missouri,"95,791",407,N/A,"3,056",133,"9,732","4,639","65,909","2,461","2,939","6,515"
2017-18,Montana,"11,324",638,N/A,220,25,98,366,"8,905",307,393,372
2017-18,Nebraska,"30,970",126,N/A,845,47,"1,432","2,395","22,689",856,"1,104","1,476"
2017-18,Nevada,"26,364",186,N/A,"2,709",301,"1,850","6,322","12,050","1,501",855,590
2017-18,New Hampshire,"33,681",145,N/A,968,45,"2,239","1,594","20,924",472,"5,727","1,567"
2017-18,New Jersey,"103,638",222,N/A,"8,615",208,"12,986","18,306","48,256","2,030","6,209","6,806"
2017-18,New Mexico,"33,582","2,612",N/A,665,73,962,"15,118","11,099",717,"1,431",905
2017-18,New York,"327,620",888,N/A,"29,001",584,"39,212","47,702","151,765","6,778","13,849","37,841"
2017-18,North Carolina,"150,425","1,456",N/A,"5,024",189,"28,732","10,490","89,224","3,761","5,453","6,096"
2017-18,North Dakota,"12,709",538,N/A,169,15,340,330,"10,014",306,344,653
2017-18,Ohio,"165,645",386,N/A,"4,376",122,"16,288","5,563","118,522","4,189","6,584","9,615"
2017-18,Oklahoma,"56,519","4,714",N/A,"1,653",97,"4,004","4,984","32,626","4,048","1,555","2,838"
2017-18,Oregon,"58,599",584,N/A,"3,375",268,"1,353","6,272","37,847","2,968","2,805","3,127"
2017-18,Pennsylvania,"187,020",281,N/A,"10,080",184,"16,626","10,282","123,522","4,624","6,877","14,544"
2017-18,Rhode Island,"21,899",59,N/A,919,15,"1,303","2,137","13,870",690,"1,310","1,596"
2017-18,South Carolina,"55,810",165,N/A,990,67,"11,403","2,202","36,922","1,552","1,077","1,432"
2017-18,South Dakota,"11,776",372,N/A,171,16,298,315,"9,783",209,175,437
2017-18,Tennessee,"83,179",229,N/A,"2,026",80,"12,471","3,243","58,981","1,937","1,770","2,442"
2017-18,Texas,"370,918","1,219",N/A,"21,610",609,"42,355","123,961","142,836","9,060","7,686","21,582"
2017-18,Utah,"85,767",583,N/A,"2,591",445,"2,688","7,206","65,309","2,317","2,617","2,011"
2017-18,Vermont,"11,618",46,N/A,312,9,474,627,"8,536",352,782,480
2017-18,Virginia,"134,048",449,N/A,"8,665",284,"22,447","9,330","74,547","4,590","8,388","5,348"
2017-18,Washington,"106,075","1,265",N/A,"9,156",610,"4,174","11,890","58,671","6,490","6,760","7,059"
2017-18,West Virginia,"36,430",156,N/A,599,145,"3,123","1,858","27,115",991,"1,399","1,044"
2017-18,Wisconsin,"89,220",539,N/A,"3,266",94,"3,697","4,682","69,578","2,173","1,949","3,242"
2017-18,Wyoming,"7,406",88,N/A,61,12,67,606,"5,787",195,324,266
2016-17,Total,"4,956,075","32,794",N/A,"289,294","12,411","569,764","716,842","2,690,299","137,738","211,138","295,795"
2016-17,Alabama,"71,768",524,N/A,"1,346",59,"17,071","2,285","44,655","1,242","2,412","2,174"
2016-17,Alaska,"5,447",583,N/A,280,33,157,331,"3,073",381,521,88
2016-17,Arizona,"161,619","3,394",N/A,"5,819",704,"16,840","33,930","77,880","4,968","12,789","5,295"
2016-17,Arkansas,"45,614",333,N/A,623,45,"6,923","2,257","31,909","1,129",339,"2,056"
2016-17,California,"603,691","2,218",N/A,"90,520","3,042","34,100","199,656","183,768","23,732","25,717","40,938"
2016-17,Colorado,"89,466",783,N/A,"2,983",249,"5,146","12,928","56,733","3,048","4,579","3,017"
2016-17,Connecticut,"53,592",139,N/A,"2,325",53,"5,419","6,285","30,400","1,347","3,411","4,213"
2016-17,Delaware,"14,538",65,N/A,518,18,"2,555",805,"7,813",288,687,"1,789"
2016-17,District of Columbia,"27,249",64,N/A,"1,852",35,"5,224","1,873","11,726",661,"1,978","3,836"
2016-17,Florida,"320,082",981,N/A,"10,081",782,"54,640","78,490","140,784","7,818","12,606","13,900"
2016-17,Georgia,"146,560",381,N/A,"6,166",159,"45,575","8,735","73,296","3,130","3,229","5,889"
2016-17,Hawaii,"15,312",36,N/A,"4,827","1,047",325,"1,438","2,913","3,478",227,"1,021"
2016-17,Idaho,"22,757",192,N/A,368,74,242,"1,908","17,459",687,882,945
2016-17,Illinois,"210,198",458,N/A,"12,372",312,"22,904","26,834","118,561","4,400","9,220","15,137"
2016-17,Indiana,"102,508",205,N/A,"2,788",94,"8,290","5,033","73,356","2,524","2,331","7,887"
2016-17,Iowa,"64,752",318,N/A,"1,497",102,"4,631","3,983","46,961","1,260","2,714","3,286"
2016-17,Kansas,"52,808",693,N/A,"1,211",74,"3,712","4,276","35,987","1,578","2,073","3,204"
2016-17,Kentucky,"75,812",181,N/A,"1,154",82,"5,363","2,044","61,638","1,642","1,766","1,942"
2016-17,Louisiana,"65,683",423,N/A,"1,517",54,"18,936","3,003","36,289","1,339","2,101","2,021"
2016-17,Maine,"15,206",106,N/A,351,11,506,345,"12,099",301,"1,105",382
2016-17,Maryland,"85,143",232,N/A,"6,171",151,"18,913","5,927","41,540","2,712","3,359","6,138"
2016-17,Massachusetts,"135,314",238,N/A,"9,676",91,"9,653","11,574","73,790","3,408","8,972","17,912"
2016-17,Michigan,"138,061",789,N/A,"4,771",127,"14,416","5,221","93,772","3,182","5,596","10,187"
2016-17,Minnesota,"101,338",666,N/A,"4,954",151,"11,071","4,304","68,087","2,715","4,960","4,430"
2016-17,Mississippi,"43,950",172,N/A,528,23,"15,082",754,"25,280",611,688,812
2016-17,Missouri,"99,718",488,N/A,"2,949",142,"10,843","4,353","67,267","2,349","3,400","7,927"
2016-17,Montana,"11,310",616,N/A,217,30,80,353,"8,955",234,470,355
2016-17,Nebraska,"30,345",137,N/A,758,51,"1,218","2,285","22,574",749,"1,185","1,388"
2016-17,Nevada,"26,079",207,N/A,"2,508",296,"1,792","5,895","12,460","1,412",964,545
2016-17,New Hampshire,"28,988",104,N/A,"1,050",43,"1,331","1,050","16,534",348,"7,218","1,310"
2016-17,New Jersey,"103,072",196,N/A,"8,480",255,"13,006","18,173","47,815","1,857","6,614","6,676"
2016-17,New Mexico,"37,761","2,875",N/A,746,95,"1,135","16,643","12,991",744,"1,618",914
2016-17,New York,"324,859",928,N/A,"27,580",559,"38,248","45,697","153,729","6,453","15,357","36,308"
2016-17,North Carolina,"145,723","1,415",N/A,"4,434",233,"27,979","9,448","86,984","3,411","5,828","5,991"
2016-17,North Dakota,"12,291",438,N/A,151,20,327,303,"9,853",283,266,650
2016-17,Ohio,"166,113",404,N/A,"4,126",124,"16,551","5,294","119,008","3,683","6,629","10,294"
2016-17,Oklahoma,"57,796","4,640",N/A,"1,673",111,"4,514","4,800","33,972","3,605","1,785","2,696"
2016-17,Oregon,"58,136",645,N/A,"2,941",293,"1,474","5,646","37,642","2,662","3,895","2,938"
2016-17,Pennsylvania,"188,674",322,N/A,"9,457",201,"17,371","10,314","126,127","4,150","7,478","13,254"
2016-17,Rhode Island,"21,185",59,N/A,849,17,"1,279","2,044","13,152",648,"1,589","1,548"
2016-17,South Carolina,"56,634",180,N/A,963,63,"12,306","2,004","37,086","1,320","1,391","1,321"
2016-17,South Dakota,"11,632",367,N/A,154,21,265,286,"9,836",192,155,356
2016-17,Tennessee,"86,241",210,N/A,"2,047",80,"13,732","3,212","60,380","1,892","2,308","2,380"
2016-17,Texas,"362,133","1,358",N/A,"20,153",603,"41,787","121,298","140,551","8,256","6,598","21,529"
2016-17,Utah,"78,959",556,N/A,"2,328",396,"2,348","6,101","60,609","1,964","2,724","1,933"
2016-17,Vermont,"11,276",75,N/A,273,5,378,550,"8,469",356,850,320
2016-17,Virginia,"135,852",465,N/A,"8,539",322,"23,307","9,082","75,927","4,456","8,430","5,324"
2016-17,Washington,"105,648","1,153",N/A,"8,680",641,"4,145","11,442","59,836","6,163","6,564","7,024"
2016-17,West Virginia,"36,326",128,N/A,563,124,"3,137","1,766","27,425","1,008","1,143","1,032"
2016-17,Wisconsin,"83,596",587,N/A,"2,910",100,"3,448","4,052","65,750","1,819","1,944","2,986"
2016-17,Wyoming,"7,260",67,N/A,67,14,69,532,"5,598",143,473,297
2015-16,Total,"4,892,308","32,785",N/A,"276,655","12,454","570,259","670,797","2,694,126","128,783","230,606","275,843"
2015-16,Alabama,"69,136",490,N/A,"1,237",72,"16,245","2,133","42,908","1,180","2,910","1,961"
2015-16,Alaska,"5,630",646,N/A,285,31,144,327,"3,171",384,547,95
2015-16,Arizona,"166,067","3,295",N/A,"5,610",748,"15,909","32,540","78,266","6,293","18,445","4,961"
2015-16,Arkansas,"45,038",363,N/A,651,40,"7,121","2,137","31,893","1,083",350,"1,400"
2015-16,California,"581,604","2,302",N/A,"87,123","2,927","33,543","184,481","184,027","22,076","28,373","36,752"
2015-16,Colorado,"87,757",791,N/A,"2,750",233,"5,056","12,305","56,001","2,793","4,923","2,905"
2015-16,Connecticut,"53,844",160,N/A,"2,258",37,"5,390","6,053","30,766","1,201","3,704","4,275"
2015-16,Delaware,"14,615",67,N/A,397,17,"2,456",727,"8,059",245,683,"1,964"
2015-16,District of Columbia,"26,702",75,N/A,"1,750",41,"5,419","1,672","11,769",619,"2,096","3,261"
2015-16,Florida,"320,138",990,N/A,"9,628",738,"54,774","76,056","143,072","7,535","14,743","12,602"
2015-16,Georgia,"144,199",423,N/A,"5,720",190,"45,585","7,857","72,325","2,826","3,636","5,637"
2015-16,Hawaii,"15,673",40,N/A,"4,958","1,093",304,"1,406","2,932","3,566",257,"1,117"
2015-16,Idaho,"22,389",184,N/A,296,62,206,"1,741","17,548",642,958,752
2015-16,Illinois,"212,487",552,N/A,"12,352",378,"25,106","25,541","120,338","4,180","10,310","13,730"
2015-16,Indiana,"99,368",246,N/A,"2,512",95,"8,140","4,872","71,604","2,057","2,565","7,277"
2015-16,Iowa,"64,263",346,N/A,"1,380",102,"5,054","3,683","46,328","1,106","3,290","2,974"
2015-16,Kansas,"52,522",608,N/A,"1,212",84,"3,731","4,089","35,738","1,398","2,451","3,211"
2015-16,Kentucky,"71,640",130,N/A,"1,011",79,"5,283","1,744","58,493","1,338","1,705","1,857"
2015-16,Louisiana,"69,421",467,N/A,"1,486",62,"20,236","3,129","37,528","1,210","3,113","2,190"
2015-16,Maine,"15,370",132,N/A,325,23,371,315,"12,512",275,"1,062",355
2015-16,Maryland,"85,053",225,N/A,"6,032",186,"18,695","5,618","42,771","2,544","3,420","5,562"
2015-16,Massachusetts,"134,964",266,N/A,"9,340",103,"9,028","10,820","75,473","3,112","9,790","17,032"
2015-16,Michigan,"137,982",786,N/A,"4,559",134,"14,583","5,048","94,732","2,911","5,862","9,367"
2015-16,Minnesota,"102,645",678,N/A,"4,722",141,"10,804","4,115","70,051","2,621","5,313","4,200"
2015-16,Mississippi,"43,488",151,N/A,556,27,"15,077",771,"25,083",491,631,701
2015-16,Missouri,"99,860",437,N/A,"2,679",153,"11,132","4,177","68,386","2,214","3,416","7,266"
2015-16,Montana,"11,280",650,N/A,170,15,87,338,"9,000",241,447,332
2015-16,Nebraska,"30,314",134,N/A,679,45,"1,248","2,264","22,981",627,"1,174","1,162"
2015-16,Nevada,"26,076",223,N/A,"2,452",324,"1,888","5,648","12,673","1,220",954,694
2015-16,New Hampshire,"25,549",103,N/A,876,22,760,730,"14,295",245,"7,265","1,253"
2015-16,New Jersey,"101,608",238,N/A,"7,967",279,"12,910","16,836","48,571","1,683","6,930","6,194"
2015-16,New Mexico,"31,460","2,298",N/A,539,83,932,"13,375","11,224",633,"1,479",897
2015-16,New York,"326,116",937,N/A,"26,838",542,"39,015","43,934","156,855","6,330","16,611","35,054"
2015-16,North Carolina,"138,477","1,416",N/A,"4,077",204,"26,477","7,894","84,230","2,878","5,795","5,506"
2015-16,North Dakota,"11,871",470,N/A,112,18,299,272,"9,505",224,346,625
2015-16,Ohio,"163,557",370,N/A,"3,869",122,"16,608","4,945","118,566","3,263","6,712","9,102"
2015-16,Oklahoma,"56,534","4,858",N/A,"1,528",123,"4,281","4,169","34,214","3,266","1,526","2,569"
2015-16,Oregon,"58,613",637,N/A,"2,757",275,"1,472","5,360","38,518","2,318","4,631","2,645"
2015-16,Pennsylvania,"190,632",330,N/A,"8,816",214,"17,985","9,986","128,536","3,772","8,427","12,566"
2015-16,Rhode Island,"20,613",68,N/A,725,23,"1,204","1,835","13,118",574,"1,601","1,465"
2015-16,South Carolina,"56,313",196,N/A,934,61,"13,001","1,919","36,494","1,309","1,179","1,220"
2015-16,South Dakota,"11,478",376,N/A,138,15,231,267,"9,783",164,166,338
2015-16,Tennessee,"84,167",227,N/A,"1,786",70,"13,750","2,817","59,494","1,940","2,064","2,019"
2015-16,Texas,"350,579","1,397",N/A,"18,833",621,"41,162","113,340","139,517","7,804","7,033","20,872"
2015-16,Utah,"72,622",502,N/A,"2,028",351,"1,758","5,236","56,565","1,524","2,720","1,938"
2015-16,Vermont,"10,664",48,N/A,234,6,266,433,"8,376",272,711,318
2015-16,Virginia,"137,487",497,N/A,"8,396",390,"24,327","8,798","78,023","4,102","7,969","4,985"
2015-16,Washington,"108,231","1,151",N/A,"8,755",622,"4,469","11,076","62,711","5,939","6,963","6,545"
2015-16,West Virginia,"35,974",144,N/A,599,137,"3,129","1,773","27,460",739,"1,068",925
2015-16,Wisconsin,"83,041",587,N/A,"2,646",79,"3,497","3,751","65,882","1,667","1,960","2,972"
2015-16,Wyoming,"7,197",78,N/A,72,17,111,444,"5,761",149,322,243
2014-15,Total,"4,863,935","34,020",N/A,"267,587","13,075","579,925","627,221","2,733,518","114,403","248,614","245,572"
2014-15,Alabama,"67,251",473,N/A,"1,158",53,"15,962","1,785","42,389",850,"2,856","1,725"
2014-15,Alaska,"7,346",671,N/A,310,114,213,864,"4,059",441,579,95
2014-15,Arizona,"171,214","3,473",N/A,"5,646",799,"17,370","31,479","83,917","4,322","19,310","4,898"
2014-15,Arkansas,"45,032",365,N/A,682,39,"7,218","1,989","32,238",946,351,"1,204"
2014-15,California,"565,562","2,455",N/A,"84,335","3,294","34,967","168,395","187,368","20,398","32,504","31,846"
2014-15,Colorado,"87,889",818,N/A,"2,646",234,"5,118","12,018","56,331","2,528","5,476","2,720"
2014-15,Connecticut,"52,405",145,N/A,"2,378",61,"5,141","5,722","31,050","1,317","3,861","2,730"
2014-15,Delaware,"14,133",50,N/A,411,20,"2,549",693,"8,224",261,740,"1,185"
2014-15,District of Columbia,"26,873",90,N/A,"1,724",53,"5,547","1,733","11,568",583,"2,530","3,045"
2014-15,Florida,"319,363","1,079",N/A,"9,400",716,"53,332","72,382","144,764","6,683","20,217","10,790"
2014-15,Georgia,"138,635",373,N/A,"5,426",200,"44,771","6,781","69,980","2,316","4,105","4,683"
2014-15,Hawaii,"15,434",40,N/A,"4,813","1,186",337,"1,304","3,015","3,333",283,"1,123"
2014-15,Idaho,"21,591",189,N/A,312,63,226,"1,530","17,197",541,920,613
2014-15,Illinois,"213,282",567,N/A,"11,875",407,"26,587","23,904","122,272","4,036","11,017","12,617"
2014-15,Indiana,"101,511",247,N/A,"2,358",72,"8,366","4,364","73,725","1,880","3,647","6,852"
2014-15,Iowa,"66,491",356,N/A,"1,405",105,"4,917","3,306","48,747",932,"3,852","2,871"
2014-15,Kansas,"53,323",638,N/A,"1,184",98,"4,037","3,774","36,425","1,357","2,557","3,253"
2014-15,Kentucky,"71,179",135,N/A,"1,063",64,"5,554","1,612","58,299","1,212","1,687","1,553"
2014-15,Louisiana,"72,630",466,N/A,"1,542",79,"21,272","3,052","40,420",987,"2,714","2,098"
2014-15,Maine,"15,456",135,N/A,278,20,500,328,"12,536",247,"1,055",357
2014-15,Maryland,"85,112",248,N/A,"5,942",144,"19,258","5,218","43,613","2,223","3,301","5,165"
2014-15,Massachusetts,"132,144",303,N/A,"8,838",87,"8,973","10,261","75,253","3,242","10,644","14,543"
2014-15,Michigan,"142,359",771,N/A,"4,636",133,"16,073","5,233","97,591","2,622","7,060","8,240"
2014-15,Minnesota,"102,574",730,N/A,"4,428",130,"10,112","3,857","72,013","2,448","5,254","3,602"
2014-15,Mississippi,"42,255",159,N/A,496,32,"14,800",708,"24,323",420,569,748
2014-15,Missouri,"100,643",459,N/A,"2,656",150,"11,553","3,972","69,944","1,875","3,807","6,227"
2014-15,Montana,"11,715",729,N/A,166,22,73,304,"9,408",253,480,280
2014-15,Nebraska,"30,317",142,N/A,659,46,"1,248","2,128","23,574",486,"1,040",994
2014-15,Nevada,"26,205",238,N/A,"2,568",331,"2,006","5,259","12,966","1,147","1,053",637
2014-15,New Hampshire,"23,694",79,N/A,661,9,568,597,"14,318",216,"6,129","1,117"
2014-15,New Jersey,"101,696",201,N/A,"7,646",288,"13,363","16,723","49,536","1,576","7,241","5,122"
2014-15,New Mexico,"32,417","2,484",N/A,550,87,980,"13,515","11,746",575,"1,418","1,062"
2014-15,New York,"326,563","1,112",N/A,"26,207",536,"39,710","41,800","160,209","5,714","18,193","33,082"
2014-15,North Carolina,"139,459","1,410",N/A,"4,022",158,"27,904","7,121","86,256","2,504","5,233","4,851"
2014-15,North Dakota,"12,093",471,N/A,127,14,292,253,"9,639",190,429,678
2014-15,Ohio,"165,727",465,N/A,"3,691",122,"17,359","4,651","121,687","2,790","6,879","8,083"
2014-15,Oklahoma,"56,201","4,922",N/A,"1,392",109,"4,425","3,860","34,821","2,531","1,711","2,430"
2014-15,Oregon,"59,839",647,N/A,"2,685",321,"1,791","4,899","41,151","2,133","3,828","2,384"
2014-15,Pennsylvania,"194,216",364,N/A,"8,366",182,"19,045","9,927","132,070","3,558","9,543","11,161"
2014-15,Rhode Island,"20,590",54,N/A,732,21,"1,130","1,702","13,204",429,"1,886","1,432"
2014-15,South Carolina,"55,854",208,N/A,882,57,"12,945","1,831","36,122","1,141","1,427","1,241"
2014-15,South Dakota,"11,341",400,N/A,119,25,159,246,"9,777",156,157,302
2014-15,Tennessee,"82,644",220,N/A,"1,626",69,"13,595","2,476","58,899","1,771","2,135","1,853"
2014-15,Texas,"334,010","1,363",N/A,"17,500",544,"40,053","104,694","137,550","6,409","7,496","18,401"
2014-15,Utah,"68,506",534,N/A,"1,852",393,"1,605","4,655","53,744","1,329","2,704","1,690"
2014-15,Vermont,"10,651",55,N/A,252,7,252,398,"8,386",241,755,305
2014-15,Virginia,"134,984",464,N/A,"8,148",515,"25,436","8,649","76,962","3,574","7,417","3,819"
2014-15,Washington,"105,981","1,125",N/A,"8,535",634,"4,439","9,744","63,262","5,319","6,717","6,206"
2014-15,West Virginia,"34,918",164,N/A,547,131,"3,045","1,427","27,037",676,"1,071",820
2014-15,Wisconsin,"84,915",622,N/A,"2,626",83,"3,633","3,591","67,722","1,561","2,466","2,611"
2014-15,Wyoming,"7,712",112,N/A,86,18,116,507,"6,211",124,310,228
2013-14,Total,"4,832,282","34,496",N/A,"260,617","13,931","575,366","590,901","2,760,191","99,414","273,939","223,427"
2013-14,Alabama,"64,944",474,N/A,"1,129",63,"14,756","1,633","40,314",671,"4,312","1,592"
2013-14,Alaska,"7,394",699,N/A,282,93,227,888,"4,046",467,539,153
2013-14,Arizona,"177,595","3,470",N/A,"5,483",799,"18,477","29,079","89,425","3,611","22,610","4,641"
2013-14,Arkansas,"44,053",369,N/A,600,45,"7,290","1,712","31,667",744,442,"1,184"
2013-14,California,"565,214","2,777",N/A,"81,908","3,817","36,899","160,707","191,931","18,567","40,432","28,176"
2013-14,Colorado,"88,453",834,N/A,"2,850",228,"5,225","11,355","56,794","2,328","6,503","2,336"
2013-14,Connecticut,"52,524",131,N/A,"2,113",58,"5,132","5,629","32,082",982,"3,790","2,607"
2013-14,Delaware,"13,655",42,N/A,404,17,"2,488",733,"7,758",229,949,"1,035"
2013-14,District of Columbia,"27,088",102,N/A,"1,711",45,"5,360","1,628","12,177",472,"2,737","2,856"
2013-14,Florida,"317,989","1,115",N/A,"9,383",675,"52,792","71,629","146,574","5,389","20,263","10,169"
2013-14,Georgia,"134,000",353,N/A,"5,477",170,"41,974","6,082","67,903","2,102","5,429","4,510"
2013-14,Hawaii,"16,364",46,N/A,"5,336","1,362",355,"1,303","3,214","3,270",383,"1,095"
2013-14,Idaho,"21,498",244,N/A,335,96,208,"1,591","17,435",270,814,505
2013-14,Illinois,"216,679",553,N/A,"12,499",395,"28,063","23,409","126,468","3,381","10,831","11,080"
